name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Thoai Son,2022-01-03,30,24,26.3,33.3,24,27.3,22.8,81.5,0,0,0,,,,,11.6,63.1,1011.4,58.7,11.7,204.7,17.7,8,,2022-01-03T06:17:08,2022-01-03T17:49:31,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48907099999,VVCT,48912599999"
Thoai Son,2022-01-04,30.3,23,26.3,34.1,23,27.7,22.8,82.2,0,0,0,,,,,16.6,63.3,1011.6,56,11.8,225.9,19.4,8,,2022-01-04T06:17:31,2022-01-04T17:50:04,0.05,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48907099999,VVCT,48912599999"
Thoai Son,2022-01-05,30.1,24,26.6,35,24,28.3,23,81.2,0,0,0,,,,,16.6,75.1,1011.3,52.4,11.7,186.8,16.3,7,,2022-01-05T06:17:52,2022-01-05T17:50:36,0.08,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48907099999,VVCT,48912599999"
Thoai Son,2022-01-06,31,24,26.5,36.5,24,28,23.3,82.9,0,0,0,,,,,64.8,174.6,1011.8,49.7,11.7,187.9,16.2,7,,2022-01-06T06:18:13,2022-01-06T17:51:09,0.11,Partially cloudy,Partly cloudy throughout the day.,wind,"48907099999,VVCT,48912599999"
Thoai Son,2022-01-07,31,24.6,26.8,36.5,24.6,28.6,23.2,81.3,0.3,100,12.5,rain,,,,16.6,82,1012.3,49,11.1,236.2,20.4,8,,2022-01-07T06:18:33,2022-01-07T17:51:41,0.15,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"48907099999,VVCT,48912599999"
Thoai Son,2022-01-08,31,23,26.8,35,23,28.4,22.4,77.7,6,100,4.17,rain,,,,7.6,71.5,1012,45.6,11,241.2,20.8,9,,2022-01-08T06:18:53,2022-01-08T17:52:13,0.18,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"48907099999,VVCT,48912599999"
Thoai Son,2022-01-09,31,22,26.8,34.6,22,28.3,22.2,77.3,0,0,0,,,,,11.2,81.8,1011,41.5,11.7,253.3,21.9,9,,2022-01-09T06:19:11,2022-01-09T17:52:45,0.21,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48907099999,VVCT,48912599999"
Thoai Son,2022-01-10,31,24,26.8,35.5,24,28.3,22.5,78.2,0,0,0,,0,0,31.3,16.6,92.2,1011.7,42.4,11.7,238.5,20.5,8,10,2022-01-10T06:19:29,2022-01-10T17:53:17,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48907099999,VVCT,48912599999"
Thoai Son,2022-01-11,31,23,26.5,35.5,23,28.2,21.8,75.9,0,0,0,,0,0,37.1,18.4,89.4,1012.5,47.1,11.8,208.6,18.2,8,10,2022-01-11T06:19:45,2022-01-11T17:53:49,0.28,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48907099999,VVCT,48912599999"
Thoai Son,2022-01-12,30.1,21,25.5,32.3,21,26.1,20.2,73.9,0.1,100,4.17,rain,0,0,40.3,20.5,85.5,1012.9,48.4,12.2,257.8,22.5,8,10,2022-01-12T06:20:01,2022-01-12T17:54:20,0.31,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"48907099999,VVCT,48912599999,remote"
